nazev;okres;obec;pocetMist;lon;lat
Kontaktní pracoviště Sokolov;SO;Sokolov;690;12,64092917;50,18055333
Kontaktní pracoviště Sokolov (Horní Slavkov);SO;Horní Slavkov;0;12,80758106;50,13863097
Kontaktní pracoviště Sokolov (Chodov);SO;Chodov;0;12,75332127;50,24133562
Kontaktní pracoviště Strakonice;ST;Strakonice;1149;13,90237131;49,26140656
Kontaktní pracoviště Stříbro;TC;Stříbro;0;13,0040918;49,75293756
Kontaktní pracoviště Sušice;KT;Sušice;0;13,52018331;49,23106096
Kontaktní pracoviště Světlá nad Sázavou;HB;Světlá nad Sázavou;0;15,40393401;49,66800815
Kontaktní pracoviště Světlá nad Sázavou (Ledeč nad Sázavou);HB;Ledeč nad Sázavou;0;15,27772261;49,69516707
Kontaktní pracoviště Svitavy;SY;Svitavy;2685;16,46829143;49,75593714
Kontaktní pracoviště Šternberk;OL;Šternberk;0;17,2988883;49,7304436
Kontaktní pracoviště Štětí;LT;Štětí;0;14,37421242;50,45298394
Kontaktní pracoviště Štětí (Úštěk);LT;Úštěk;0;14,34332421;50,5847441
Kontaktní pracoviště Šumperk;SU;Šumperk;1206;16,97060803;49,96528376
Kontaktní pracoviště Tábor;TA;Tábor;3368;14,65780339;49,41441246
Kontaktní pracoviště Tachov;TC;Tachov;3978;12,63365189;49,79527862
Kontaktní pracoviště Tanvald;JN;Tanvald;0;15,30585351;50,7373535
Kontaktní pracoviště Telč;JI;Telč;12;15,45275307;49,18417507
Kontaktní pracoviště Telč (Třešť);JI;Třešť;1;15,48211358;49,2909174
Kontaktní pracoviště Teplice;TP;Teplice;2134;13,82450731;50,64039751
Kontaktní pracoviště Tišnov;BO;Tišnov;14;16,42438044;49,34871806
Kontaktní pracoviště Trutnov;TU;Trutnov;1449;15,91270371;50,56100669
Kontaktní pracoviště Třebíč;TR;Třebíč;1607;15,88165735;49,2149228
Kontaktní pracoviště Třebíč (Náměšť nad Oslavou);TR;Náměšť nad Oslavou;0;16,1584861;49,20726329
Kontaktní pracoviště Třeboň;JH;Třeboň;0;14,77064948;49,00363778
Kontaktní pracoviště Třemošnice;CR;Třemošnice;0;15,58002377;49,86911871
